,0,1,2
14,person,10,"
n.人；（语法）人称；身体；容貌复数：peoplepersons易混淆的单词：Person
"
18,meeting,10,"
n.会议；聚会；汇合点；运动会v.相遇( meet的现在分词)；相识；开会；接触（某物）复数：meetings
"
32,impression,7,"
n.印象，感觉；影响，效果；盖印，印记复数：impressions
"
34,create,6,"
vt.创造，创作；产生；封爵，把…封为（贵族）vi.[英][俚]大发脾气，大发牢骚第三人称单数：creates过去式：created过去分词：created现在分词：creating易混淆的单词：CREATE
"
39,positive,6,"
adj.积极的；确实的，肯定的；[数]正的；[医]阳性的n.正面；正片；[语]原级形容词；[数]正量复数：positives
"
40,definitely,6,"
adv.明确地；确切地；一定地；肯定地int.（表强烈的肯定）当然比较级：more definitely最高级：most definitely
"
43,attending,5,"
adj.（医生）主治的v.参加( attend的现在分词 )；注意，听；照顾；[常用被动语态]（作为结果、情况）伴随
"
53,tips,4,None
56,course,4,"
n.课程；航线；行动方向；一道菜vt.快速地流动；奔流；跑过；追逐vi.沿…（方向）前进；指引航线；快跑；迅速移动复数：courses第三人称单数：courses过去式：coursed现在分词：coursing
"
57,people,4,"
n.人，人类；居民；人民；种族vt.居住于，布满；使住满人，在…殖民；把动物放养在复数：peoples第三人称单数：peoples过去式：peopled过去分词：peopled现在分词：peopling易混淆的单词：People
"
69,intention,3,"
n.意图，目的；意向；意义，意旨；[医]愈合复数：intentions
"
70,appearance,3,"
n.外貌，外观；出现，露面；[哲]现象复数：appearances
"
77,event,3,"
n.事件，大事；活动，经历；结果；运动项目复数：events
"
78,confidence,3,"
n.信心；信任；秘密adj.骗得信任的；欺诈的复数：confidences易混淆的单词：Confidence
"
85,physical,3,"
adj.自然（界）的；身体的；物质的；自然规律的n.身体检查，体格检查复数：physicals
"
86,dressed,3,"
adj.打扮好的，穿着衣服的；（畜、禽、鱼）剥皮（或去毛、鳞）、去内脏及分割加工好的；动词dress的过去式和过去分词
"
89,appropriately,2,"
adv.适当地
"
91,jane,2,"
n.简（女子名）
"
93,eye,2,"
n.眼睛；视力；眼状物；风纪扣扣眼vt.定睛地看；注视；审视；细看复数：eyes第三人称单数：eyes过去式：eyed过去分词：eyed现在分词：eyeingeying易混淆的单词：EyeEYE
"
94,confident,2,"
adj.确信的，深信的；有信心的，沉着的；大胆的，过分自信的；厚颜无耻的n.知己；心腹朋友复数：confidents比较级：more confident最高级：most confident
"
95,business,2,"
n.商业，交易；生意；事务，业务；职业，行业复数：businesses
"
96,nervous,2,"
adj.焦虑的；紧张不安的；神经质的比较级：more nervous最高级：most nervous
"
97,god,2,"
n.上帝，造物主；被极度崇敬的人[物]；男神；戏院顶层楼座观众vt.膜拜；崇拜复数：gods易混淆的单词：GodGOD
"
100,formal,2,"
adj.（学校教育或培训）正规的；方式上的；礼仪上的n.&lt;美&gt;须穿礼服的社交集会；&lt;口&gt;夜礼服复数：formals易混淆的单词：FORMAL
"
105,sense,2,"
n.感觉，官能；意识，观念；理性；识别力vt.感到；理解，领会；检测出第三人称单数：senses过去式：sensed过去分词：sensed现在分词：sensing
"
106,social,2,"
adj.社会的，社会上的；交际的，社交的；群居的；合群的n.联谊会，联欢会；社交聚会复数：socials
"
110,helps,2,"
n.助手( help的名词复数 )；补救办法；有用v.帮助( help的第三人称单数 )；有助于，有利于；治疗；避免易混淆的单词：HelpsHELPS
"
112,ok,2,"
abbr.ohne kosten (German=without cost) （德语）不计价；不受约束；ola kala (Greek=all is fine, all is good) （希腊语）都很好（古代希腊水手最早使用）；outer keel 外（平板）龙骨易混淆的单词：OkOK
"
114,note,2,"
n.笔记；便笺；音符；钞票vt.注意；记录；对…加注释；指出复数：notes第三人称单数：notes过去式：noted过去分词：noted现在分词：noting易混淆的单词：Note
"
116,present,2,"
adj.现在的；目前的；出席的；[语法学]现在时的n.现在；礼物；瞄准复数：presents第三人称单数：presents过去式：presented过去分词：presented现在分词：presenting
"
117,form,2,"
n.形状，形式；外形；方式；表格vt.形成；构成；组织；塑造vi.形成，产生；排队，整队复数：forms第三人称单数：forms过去式：formed过去分词：formed现在分词：forming易混淆的单词：Form
"
119,phone,2,"
n.电话；听筒；（发声或使用声音的）工具；说某种语言的vt.&amp; vi.打电话（给某人）复数：phones第三人称单数：phones过去式：phoned过去分词：phoned现在分词：phoning易混淆的单词：PHONEPhone
"
122,polite,2,"
adj.有礼貌的；有教养的，文雅的；上流社会的；应酬的，客套的比较级：politer最高级：politest
"
123,project,2,"
vt.放映；计划；发射；展现，使突出vi.伸出，突出复数：projects第三人称单数：projects过去式：projected过去分词：projected现在分词：projecting
"
124,extremely,2,"
adv.极端地；非常，很；去；绝
"
125,contact,2,"
n.接触；触点；[医]（传染病）接触人；门路vt.使接触；与…联系；与…通讯（或通话）vi.联系，接触第三人称单数：contacts过去式：contacted过去分词：contacted现在分词：contacting易混淆的单词：Contact
"
132,gathering,2,"
n.聚集；集会；采集；积累v.（使）聚集( gather的现在分词)；集合；推断；了解复数：gatherings
"
133,habits,1,"
n.习惯( habit的名词复数 )；（修道士或修女穿的）长袍；惯常行为；（吸毒、喝酒、抽烟的）瘾
"
135,alright,1,"
adv.好的；正确；令人满意adj.没问题的
"
136,deserve,1,"
vt.应受；应得；值得vi.应受报答；应得报酬；应得赔偿；应受惩罚第三人称单数：deserves过去式：deserved过去分词：deserved现在分词：deserving
"
137,model,1,"
n.模型；模特儿；模式；典型vt.&amp; vi.做模特儿vt.模仿；制作模型，塑造；将…做成模型adj.典型的，模范的复数：models第三人称单数：models过去式：modelled过去分词：modelled现在分词：modelling易混淆的单词：MODELModel
"
140,collection,1,"
n.收集，采集；征收；收藏品；募捐复数：collections
"
141,listening,1,"
adj.收听的，收听无线电广播的；助听用的v.倾听( listen的现在分词 )；留心听；听信；（让对方注意）听着
"
142,happy,1,"
adj.幸福的；快乐的；巧妙的；〈口〉有点醉意的比较级：happier最高级：happiest易混淆的单词：Happy
"
144,chance,1,"
n.机会，机遇；概率，可能性；偶然，运气v.偶然发生；冒险；碰巧；偶然被发现adj.意外的；偶然的；碰巧的复数：chances第三人称单数：chances过去式：chanced过去分词：chanced现在分词：chancing易混淆的单词：ChanceCHANCE
"
145,worries,1,None
147,essential,1,"
adj.基本的；必要的；本质的；精华的n.必需品；基本要素；必不可少的东西复数：essentials易混淆的单词：ESSENTIAL
"
149,avoided,1,"
v.避开，避免，预防( avoid的过去式和过去分词 )；[法律]宣布（判决、抗辩等）无效；使无效；废止，撤销
"
151,traveling,1,"
adj.同行的；活动的；移动的n.&lt;篮球&gt;带球走步，走步违例
"
152,louder,1,"
loud（响亮的，大声的，高声的）的比较级形式
"
155,hair,1,"
n.头发，毛发；（动、植物的）毛；一丝丝，些微；毛发织物复数：hairs易混淆的单词：HAIRHair
"
156,interview,1,"
n.接见；采访；面试；会谈vt.&amp; vi.面试vt.采访；访问；会见；（私下）提问复数：interviews第三人称单数：interviews过去式：interviewed过去分词：interviewed现在分词：interviewing易混淆的单词：Interview
"
158,energy,1,"
n.[物]能量；活力；精力；精神复数：energies
"
159,impressive,1,"
adj.给人印象深刻的，感人的；引人注目的；可观的；显赫
"
160,intelligence,1,"
n.智力；聪颖；情报；情报机构易混淆的单词：Intelligence
"
161,speaks,1,None
162,attend,1,"
vi.出席；致力于，献身于；侍候，照顾；关注vt.出席，参加；[常用被动语态]（作为结果、情况）伴随；照顾；陪伴第三人称单数：attends过去式：attended过去分词：attended现在分词：attending
"
163,weird,1,"
adj.怪诞的，超自然的；奇怪的，奇异的；&lt;古&gt;命运的，宿命的；不可思议的n.命运，宿命；厄运；&lt;古&gt;命运女神复数：weirds比较级：weirder最高级：weirdest
"
164,bit,1,"
n.一点，一块；少量，少许；一会儿，一转眼；[计] 比特（二进位制信息单位）adj.很小的，微不足道的adv.[口语]相当，有点儿，或多或少，多少[a bit to的省略]vt.给（马）上嚼子；上衔铁；抑制；制约v.咬，叮( bite的过去式)；刺痛；咬饵；有咬（或叮）的习性复数：bits第三人称单数：bits过去式：bitted过去分词：bitted现在分词：bitting易混淆的单词：BitBIT
"
165,touching,1,"
adj.令人同情的，感人的，动人的prep.&lt;书&gt;关于，至于v.接触(touch的现在分词)
"
166,phase,1,"
n.相，周相；阶段；[物理学]相位；方面，侧面vt.分阶段实行；调整相位vi.分阶段进行复数：phases第三人称单数：phases过去式：phased过去分词：phased现在分词：phasing易混淆的单词：PHase
"
167,courteous,1,"
adj.有礼貌的；谦恭的；殷勤的；客气
"
168,helpful,1,"
adj.给予帮助的，有益的；愿意帮忙的
"
169,pleasure,1,"
n.愉快；娱乐；令人高兴的事vt.使高兴；使满意vi.觉得高兴，享受；寻欢作乐复数：pleasures第三人称单数：pleasures过去式：pleasured过去分词：pleasured现在分词：pleasuring
"
170,pray,1,"
vt.祈祷，祷告；请求，恳求；央求vi.祈祷；请；恳求第三人称单数：prays过去式：prayed过去分词：prayed现在分词：praying易混淆的单词：PrayPRAY
"
172,handshake,1,"
n.握手复数：handshakes
"
174,smiling,1,"
adj.微笑的，风景明媚的，喜气洋洋的v.以微笑表示( smile的现在分词 )
"
175,puppy,1,"
n.小狗，幼犬；浅薄自负的年轻男子；狂妄自大的小伙子，呆笨的花花公子；〈美俚〉脚复数：puppies
"
176,talks,1,"
n.会谈v.说( talk的第三人称单数 )；讨论；说话；（用以强调款额、情况严重程度等）讲的是
"
177,friend's,1,None
178,stories,1,"
n.故事( story的名词复数 )；（任何结构、构造的）层；&lt;口&gt;谎话；&lt;美&gt;楼层
"
182,wanting,1,"
adj.欠缺的，不足的v.缺少( want的现在分词 )；应该；打算；需要…在场
"
183,tall,1,"
adj.身材高的，高大的；（数量）大的；（俚）过分的，夸张的adv.夸大地；趾高气扬地比较级：taller最高级：tallest易混淆的单词：TallTALL
"
184,playing,1,"
v.演奏( play的现在分词 )；演出；参加比赛；捉弄易混淆的单词：Playing
"
185,numbers,1,"
n.算术； 数量上的优势；数( number的名词复数 )；数目；一期；一群人v.数，算( number的第三人称单数 )；给…编号；总共易混淆的单词：Numbers
"
188,especially,1,"
adv.尤其地；主要地，格外地；显著地；异常地
"
189,america,1,None
191,practice,1,"
n.练习；实践；（医生或律师的）业务；惯例vi.实行；惯常地进行；练习；实习vt.实行，实践；执业；练习；惯常地进行复数：practices第三人称单数：practices过去式：practiced过去分词：practiced现在分词：practicing
"
195,somebody,1,"
pron.某人，有人n.大人物，重要的人物复数：somebodies
"
196,current,1,"
adj.现在的；最近的；流行的；流传的n.趋势；电流；水流；涌流复数：currents
"
197,rude,1,"
adj.粗鲁的；简陋的；狂暴的；近乎下流的比较级：ruder最高级：rudest易混淆的单词：Rude
"
198,acquaintances,1,"
n.相识的人( acquaintance的名词复数 )；熟人；对…有了解；（与某人）认识
"
200,somewhere,1,"
adv.某处，在某处；在[到]某处；不知道在[到]什么地方；某地易混淆的单词：Somewhere
"
202,smile,1,"
n.微笑，笑容vt.以微笑表示；以微笑完成vi.微笑；赞许；不在乎复数：smiles第三人称单数：smiles过去式：smiled过去分词：smiled现在分词：smiling易混淆的单词：SMILESmile
"
203,wet,1,"
adj.湿的；下雨的；懦弱的；（儿童）尿湿尿布的n.湿地；液体；窝囊废；雨天vt.使潮湿；把…弄湿复数：wetter第三人称单数：wets过去式：wetted过去分词：wetted现在分词：wetting比较级：wetter最高级：wettest易混淆的单词：WETWet
"
205,might,1,"
aux.表示可能；表示许可；表示询问情况n.力气；力量；威力；权力v.可以；应该易混淆的单词：Might
"
208,interested,1,"
adj.感兴趣的；拥有权益的；有成见的v.使…感兴趣(interest的过去分词)比较级：more interested最高级：most interested
"
209,stand,1,"
n.台，看台；立场；停止；抵抗vi.站立，起立；竖直放置；保持看法；停滞vt.使站立；忍受；抵御；承担责任vt.&amp; vi.站立，（使）直立，站着复数：stands第三人称单数：stands过去式：stood过去分词：stood现在分词：standing
"
210,movies,1,"
n.&lt;美&gt;电影院；电影( movie的名词复数 )；电影院
"
213,fact,1,"
n.事实，实情；实际；真相，证据；犯罪行为复数：facts易混淆的单词：FACT
"
215,whatever,1,"
pron.无论什么；任何（事物）；诸如此类；（表示不在乎，什么都可接受）什么都可以adj.无论什么…都；无论怎样…都；任何…也易混淆的单词：Whatever
"
216,manners,1,"
n.礼貌；方式( manner的名词复数 )；礼貌；规矩；态度易混淆的单词：Manners
"
217,exchange,1,"
n.交换；交易；交易所；兑换（率）vt.交换，互换；兑换；交换，调换vi.交换，替换；进行易货贸易，作物物交换；[金融业]（货币）交换，兑换复数：exchanges第三人称单数：exchanges过去式：exchanged过去分词：exchanged现在分词：exchanging易混淆的单词：Exchange
"
218,addresses,1,"
n.称呼( address的名词复数 )；（在信封、包裹等上）书写（收件人姓名、地址）；（收件人的）姓名和地址；（书面或口头的）发言
"
220,wide,1,"
adj.宽的；普遍的；广阔的；张大的，开得很大的adv.广泛地；充分地；广阔地n.广大的世界；[板]歪球比较级：wider最高级：widest
"
221,composed,1,"
adj.镇静的，沉着的v.组成( compose的过去式和过去分词 )；调解；[印刷]排（字）；使安定
"
223,places,1,"
n.位( place的名词复数 )；地方；职位；座位
"
225,grooming,1,"
v.照料或梳洗（马等）( groom的现在分词)；喂马；整饰；推荐n.修饰
"
226,biting,1,None
227,touch,1,"
vt.触摸；使某物与…轻轻接触；吃或喝，尝；[数]与…相切n.触摸，碰；触觉，触感；修饰，润色；痕迹vi.接触；联系复数：touches第三人称单数：touches过去式：touched过去分词：touched现在分词：touching易混淆的单词：Touch
"
231,firm,1,"
adj.坚固的，坚牢的；坚定的，坚决的；严格的；确定的vt.&amp; vi.使坚固；使坚实n.商号，商行；公司；企业；工作集体adv.坚定地，稳固地vt.使坚定，使牢固vi.变坚实，变稳固复数：firms第三人称单数：firms过去式：firmed过去分词：firmed现在分词：firming比较级：firmer最高级：firmest易混淆的单词：FIRM
"
233,white,1,"
adj.白色的，纯洁的；无色的，透明的；白衣的；白种人的n.白色；白种人；空白；白色颜料vt.（书写，印刷等）留出空白处；使变白色，刷白；漂白复数：whites第三人称单数：whites过去式：whited过去分词：whited现在分词：whiting比较级：whiter最高级：whitest易混淆的单词：White
"
234,hygiene,1,"
n.卫生，卫生学；保健法
"
235,personal,1,"
adj.个人的，私人的；身体的；亲自的；人身攻击的n.（报刊上的）人事栏，分类人事广告版；人称代名词；关于个人的简讯复数：personals
"
236,calm,1,"
adj.镇定的；平静的；（海洋，天气等）安静的，平静的；（人）从容不迫的vt.&amp; vi.（使）平静，（使）镇定；（使）镇静n.平静；镇定；安定；无风vt.使安静；使冷静；使镇定；使（疼痛等）减轻vi.安静下来，平静下来，镇静下来复数：calms第三人称单数：calms过去式：calmed过去分词：calmed现在分词：calming比较级：calmer最高级：calmest易混淆的单词：CaLMCALM
"
237,music,1,"
n.音乐；乐曲；乐谱；乐队易混淆的单词：MusicMUSIC
"
240,brings,1,"
v.带来( bring的第三人称单数 )；促使；提供；使朝（某方向或按某方式）移动易混淆的单词：Brings
"
244,clue,1,"
n.线索；提示；（帮助警方破案的）线索；（纵横填字谜、游戏或问题的）提示词语vt.&lt;非正&gt;为…提供最新情况（消息等）复数：clues易混淆的单词：CLUEClue
"
245,properly,1,"
adv.适当地；恰当地；正确地；完全，非常比较级：more properly最高级：most properly
"
246,conference,1,"
n.会议；讨论；（正式）讨论会；[工会、工党用语]（每年的）大会vi.举行或参加（系列）会议复数：conferences
"
247,bother,1,"
vt.烦扰，打扰；使…不安，使…恼怒；使迷惑；烦恼vi.操心；麻烦；烦恼n.麻烦，操心；累赘；烦扰，吵闹；讨厌的人复数：bothers第三人称单数：bothers过去式：bothered过去分词：bothered现在分词：bothering
"
251,interactions,1,"
n.一起活动( interaction的名词复数 )；合作；互相影响；互动
"
252,attended,1,"
v.参加( attend的过去式和过去分词 )；注意，听；照顾；[常用被动语态]（作为结果、情况）伴随
"
254,body,1,"
n.身体；尸体；团体；物体vt.赋予形体复数：bodies第三人称单数：bodies过去式：bodied过去分词：bodied现在分词：bodying易混淆的单词：Body
"
255,email,1,"
n.电子邮件vt.给…发电子邮件易混淆的单词：Email
"
256,adorable,1,"
adj.值得崇拜的，可敬重的；可爱的，讨人喜欢的
"
257,gentle,1,"
adj.温和的；文雅的；高尚的vt.使温和；使驯服n.蛆；饵第三人称单数：gentles过去式：gentled过去分词：gentled现在分词：gentling比较级：gentler最高级：gentlest易混淆的单词：Gentle
"
259,attire,1,"
n.服装，衣服vt.使穿上衣服，使穿上盛装第三人称单数：attires过去式：attired过去分词：attired现在分词：attiring
"
260,goes,1,"
v.进行（go的第三人称单数）；去；离开；进展n.（牌戏、下棋等中）轮到的顺序（go的复数形式）易混淆的单词：GoesGOES
"
261,dress,1,"
n.衣服；装饰；连衣裙；礼服vt.&amp; vi.给…穿衣；穿着；打扮adj.连衣裙的；须穿礼服的；适合于正式场合的；办公时（或半正式场合）穿戴的vt.给…穿衣；给…提供衣服；装潢，装饰或装点；排成列vi.穿衣；排列整齐复数：dresses第三人称单数：dresses过去式：dressed过去分词：dressed现在分词：dressing易混淆的单词：DRESS
"
264,affairs,1,"
n.公共事务，政治事务；事件( affair的名词复数 )；事务；个人的事；发生的事情
"
265,listen,1,"
vi.倾听；留心听；听信；（让对方注意）听着n.听，倾听第三人称单数：listens过去式：listened过去分词：listened现在分词：listening易混淆的单词：LISTENListen
"
266,driving,1,"
n.操纵，驾驶adj.推进的；强劲的；雨、雪等猛烈的；倾泻而下的v.强迫( drive的现在分词)；驱使；驱赶；消除
"
268,seconds,1,"
n.助手( second的名词复数 )；第二名；秒；第二份食物v.支持( second的第三人称单数 )；临时调派；附议；赞成某提案易混淆的单词：Seconds
"
270,nails,1,"
n.钉子( nail的名词复数 )；钉状物；指甲；趾甲v.钉住( nail的第三人称单数 )；抓住；证明…不属实；揭露易混淆的单词：NAILS
"
272,experience,1,"
n.经验，体验；经历，阅历vt.亲身参与，亲身经历；感受；发现复数：experiences第三人称单数：experiences过去式：experienced过去分词：experienced现在分词：experiencing
"
273,studied,1,"
adj.有计划的；故意的；深思熟虑的；精通的v.学习，研究( study的过去式和过去分词 )；想出；详细地检查；背诵（台词等）
"
274,shoes,1,"
n.鞋子；鞋状物；蹄铁；（轮胎的）外胎；鞋( shoe的名词复数 )；蹄铁；煞车；金属箍v.为…钉蹄铁( shoe的第三人称单数 )
"
275,language,1,"
n.语言，语言文字；表达能力；言语，语风，文风，文体；专门用语，术语复数：languages
"
278,cards,1,"
n.卡（ card的名词复数 ）；纸牌；贺卡；信用卡易混淆的单词：CARDSCards
"
280,attention,1,"
n.注意，注意力；照料，关怀；殷勤int.[口令]立正复数：attentions
"
281,post,1,"
n.邮件；邮政；柱，桩，杆；岗位vt.张贴；宣布；设岗；邮寄vi.快速行进adj.有关赛跑（或赛马，赛狗）起点标志的adv.〈外〉在后；用急件[驿马]；赶紧地，火速地复数：posts第三人称单数：posts过去式：posted过去分词：posted现在分词：posting易混淆的单词：PostPOST
"
282,percent,1,"
n.百分比，百分数；百分之一adj.百分之…的，每一百中有…的；百分之…支付利息的adv.以百分之…地，每一百中有…地复数：percent
"
283,focused,1,"
adj.聚焦的v.（使）集中， （使）聚集( focus的过去式和过去分词 )；调整（镜头，眼睛）焦点[焦距]以便看清；（光、声等的）焦点；集中（光束于）
"
285,heart,1,None
288,appropriate,1,"
adj.适当的；恰当的；合适的v.盗用；侵吞；拨（专款等） 第三人称单数：appropriates过去式：appropriated过去分词：appropriated现在分词：appropriating
"
